name,lat,lng,pincode,type
Vohuman Cafe,18.53255479726013,73.87683391571045,411001,Breakfast
EVVIVA Sky Lounge,18.531412676928273,73.87670773171725,411001,Lounge
Hidden Place - The Crazy Frog,18.536545723812523,73.87539379659546,411001,Pub
Gajalee,18.527477945365064,73.87821504932214,411001,Seafood
Conrad Pune,18.535019901932454,73.88305602024062,411001,Hotel
Zamus,18.53648968182744,73.8758983980925,411001,BBQ
Poona Club,18.522973762245087,73.8791395488057,411001,Indian
Kapila Kathi Kabab,18.53488822484841,73.8762967028389,411001,Kebab
La Bouchee d'Or,18.53893142977607,73.87667715007233,411001,Bakery
Blue Nile Restaurant,18.52168432950116,73.87755259434938,410001,Indian
Sheraton Grand Pune,18.530105842924414,73.87137017215163,411001,Hotel
La Pizzeria,18.539621085556846,73.88340065713508,411001,Italian
Kue Bar,18.535322048652308,73.87193867357229,411001,Hotel Bar
Mainland China,18.538874069434044,73.87539689680744,411001,Chinese
Abs Fitness & Wellness Club,18.51960456608613,73.87412652726975,411001,Gym
Diamond Queen,18.518235663925047,73.88001085306523,411001,Indian
Dorabjee's,18.51911583551871,73.87685022743341,411001,Supermarket
Suonmoi Chinese Restaurant,18.537519061853448,73.87984084727901,411001,Chinese
Little Italy,18.53959814741138,73.88346389148616,411001,Italian
Coconut Grove,18.5256809132634,73.86698863631743,411001,Seafood
Savya Rasa,18.53887406264487,73.8865607199056,411001,South Indian
Inox,18.52692776021287,73.87809068238184,411001,Movie Theater
Touché The Sizzler (The Place),18.51858264880105,73.87856485813023,411001,Steakhouse
Phoenix Market City East Court,18.533137766747238,73.87235212810954,411001,Mall
Kayani Bakery,18.51479706269301,73.87985980267678,411001,Bakery
Starbucks,18.539341390980805,73.88660174742675,411001,Coffee Shop
JJ Garden Wada Pav,18.516492359111737,73.87883521094803,411001,Food Truck
Hidden Place - The Hangout,18.539651495140603,73.88702296368126,411001,Pub
Mahesh Lunch Home,18.52063292197414,73.87235968390644,411001,Seafood
Dario's Restaurant,18.537206767573423,73.88881333674352,411001,Italian
"The Bombay Bronx, Pune",18.539235189258516,73.87512606929815,411001,Pub
Ahling Chinese,18.532165091735802,73.87676620340925,411001,Chinese
Cream Craver,18.521121878289538,73.87714020224023,411001,Vegetarian / Vegan
Vivanta by Taj - Blue Diamond,18.538479258585582,73.88629047698636,411001,Hotel
The Yogi Tree,18.541224732843972,73.88771981420507,411001,Indian
Domino's Pizza,18.5320286019098,73.8767760370835,411001,Pizza
Venky's Chicken,18.513503048807866,73.87976573679676,411001,Fast Food
Garden Vada Pav,18.517273510439413,73.87728365473252,411001,Fast Food
Main Street,18.51622868793453,73.87881224203392,411001,Plaza
Cafe Toons,18.51627179552993,73.87887552615932,411001,Sports Bar
Nandu's Parathas,18.535991740207297,73.87597707156488,411001,Indian
Boat Club,18.541582735239178,73.88025474503291,411001,Bar
Mughal's,18.51569010232164,73.87961173532855,411001,Indian
Osho Teerth Park,18.535932024959568,73.89086723327637,411001,Park
Chingari,18.529928247216265,73.87132123650838,411001,Indian
Juice World,18.517262070131107,73.87947614029554,411001,Juice Bar
Supriya,18.51942060875905,73.87572864086361,411001,Indian
Subway,18.51589893159622,73.87959171465702,411001,Fast Food
Osho Ashram,18.536454822063433,73.88805127031414,411001,Yoga Studio
Dravida's Organic Bistro,18.53562685652481,73.87643158435822,411001,Bistro
Dorabjee & Sons Restaurant,18.515215292987282,73.87692348133679,411001,Parsi
Rama Krishna,18.518692898717,73.87848896977292,411001,Indian
Hite Bar,18.515297639433705,73.87394363280072,411001,Fast Food
YOKO sizzlers,18.53495479585261,73.8756827023155,411001,Restaurant
Kareem's,18.51423826998531,73.87980916072576,411001,Indian
Latitude,18.538490441633385,73.88634530650525,411001,Multicuisine Indian
11 East Street Cafe,18.512403447489135,73.88031499121894,411001,Bar
Nawab Asia,18.522446370333007,73.87794761244764,411001,Indian
Naturals Ice Cream,18.519415304409666,73.87606002024928,411001,Ice Cream
German Bakery,18.53960203749367,73.88768501825994,411001,Bakery
Oakwood Residence Naylor Road Pune,18.53527259919302,73.88461935079478,411001,Hotel
O Hotel,18.540015365651918,73.88779209902417,411001,Hotel
Tanishq,18.54008985702351,73.8831882132427,411001,Jewelry
George Restaurant,18.517313900653377,73.87935388638768,411001,Indian
Cream Corner,18.51717014471052,73.87952090230074,411001,Snacks
Oh! Calcutta,18.538781372812778,73.87509394466052,411001,Seafood
Coffee House,18.519033178150792,73.87734206929967,400001,Indian
Sante,18.53754542041741,73.88883066515585,411001,Café
Chutney's,18.536521498926245,73.87597743292272,411001,Indian
The Mugshot Lounge,18.539166996176817,73.88598699145462,411001,Lounge
Badshah,18.514381234818085,73.8798577502319,411001,Indian
Radio Hotel,18.5139005525893,73.87732921010343,411001,Indian
Karachi Sweet Mart,18.51517540681883,73.87879317782782,411001,Indian
Cafe Yezdan,18.514896093356153,73.8767392864501,411001,Breakfast
Kapila Garden Restaurant,18.534157807850196,73.87649811013837,411001,Indian
cafe coffee day,18.5356564402876,73.88569131139757,411001,Café
Just Baked,18.535604199492415,73.87618802587299,411001,Bakery
Bund Garden,18.5410219845637,73.88389404865349,411001,Garden
Green Villa,18.5403014452217,73.8914367813706,411001,Middle Eastern
Zaika The Veg Treat,18.512241877992427,73.87877778865771,411001,Indian Chinese
Food Story,18.53925528386031,73.87541855539207,411001,Mughlai
Cafe Euthanasia,18.53527208353114,73.87831446192322,411001,Café
Carrots N Celery,18.538004116631857,73.88160294538334,411001,Hotel Bar
St Laurn Business Hotel Pune,18.538639588193277,73.88558662978774,411001,Indian
Sicilia,18.539167971671706,73.87537316362946,411001,Italian
Soy,18.53707590325458,73.88120099467704,411001,Chinese
Sigree,18.539702705588766,73.8751471727626,411001,Indian
Paprika Hot Rock,18.539195273607245,73.87537219139938,411027,Mediterranean
Buddha Paradise,18.540324808265943,73.89113921040499,411001,Fast Food
Harajuku,18.53996633617768,73.88758042920274,411001,Japanese
Sangam Wadi Neeta Bus Docks,18.533454543724485,73.86028119422761,411001,Bus Station
Raja Dinkar Kelkar museum,18.510743623888896,73.85438919067383,411002,History Museum
Sujata Mastani,18.511792754341577,73.85214493967393,411030,Ice Cream
Shree Wadeshwar Bhuvan,18.510752727983352,73.85374824193698,411030,Vegetarian / Vegan
Shrikrishna Bhuvan,18.51349411364069,73.85507354346112,411009,Snacks
Tilak Hotel,18.50960261815985,73.84688277838784,411030,Snacks
Bhagat Tarachand,18.514332265559556,73.85131729012238,411002,Indian
Masemari,18.505643889009608,73.85227656568195,411030,Seafood
Lal Mahal,18.518719674058865,73.85655641555786,411030,Historic Site
Hotel Madhuban,18.519248295410485,73.84868804177536,411030,Tea Room
Parvati,18.498190564461044,73.84958786400306,411002,Trail
Manasi Malai Gola,18.509658968315318,73.85372858334871,411002,Desserts
Mad Over Donuts,18.519335111404256,73.84531961315069,411004,Donuts
Jayshree Garden,18.504916886557126,73.85426809288236,411002,Vegetarian / Vegan
Chitale Bandhu Mithaiwale,18.51360263696441,73.85380148377794,411030,Desserts
Café GoodLuck,18.5173883002662,73.8414854187446,411002,Café
Fish Curry Rice,18.51641491600367,73.85093360732121,411030,Seafood
Barbeque Nation,18.516237355048084,73.84222283288595,411002,BBQ
Krishna Juice Bar,18.52355342051691,73.84765077882606,411002,Juice Bar
Madinah Hotel,18.507210780715518,73.87501620615589,411042,Indian
SP Biryani House,18.508067134805508,73.85035559087343,411030,Indian
P.N. GADGIL & CO.,18.51448373993062,73.85217361271135,411030,Jewelry
Sukanta,18.51694169413758,73.84428399256002,India,Vegetarian / Vegan
Badshahi Mess,18.508755414267316,73.84897126474321,411002,Indian
Hotel Agatya,18.514450921596094,73.85427023461997,411002,Indian
Ganraj Restaurant,18.509120894706307,73.85364690561192,411002,Vegetarian / Vegan
Grahak Peth,18.507649444578256,73.85063253217139,411002,Convenience Store
Jayashree Paavbhaji,18.504979638515653,73.85429139284874,411002,Indian
Mohan Ice Cream,18.520619663670587,73.84606955610744,411004,Ice Cream
Om Jai Shankar Pani Puri,18.511730576956282,73.87641365049377,411001,Snacks
Abs Fitness & Wellness Club,18.51960456608613,73.87412652726975,411002,Gym
Bal Gandharva Ranga Mandir,18.52233273885281,73.84801999609671,411002,Theater
Hite Bar,18.515297639433705,73.87394363280072,411001,Fast Food
Aufside,18.501410117028158,73.87215673724431,411002,Gastropub
Supreme Corner,18.520528059619732,73.84616365830843,411004,Fast Food
Coconut Grove,18.5256809132634,73.86698863631743,411002,Seafood
Aware Maratha Khanawal,18.512948403914418,73.84519971682283,411002,Indian
Natural Ice Cream,18.52312637552247,73.84746530397125,411002,Ice Cream
Bipin Snacks And Juice Bar,18.513013126098517,73.83992106106976,411002,Snacks
Janjira Hotel,18.509113911280735,73.84372031997646,411002,Indian
Café Coffee Day,18.5231306426117,73.84834705709581,411002,Coffee Shop
Mahesh Lunch Home,18.52063292197414,73.87235968390644,411002,Seafood
KFC,18.51636540601343,73.84271277231954,411004,Fast Food
Saras Baug,18.50142641728614,73.85359649517171,411002,Garden
Mathura restaurant,18.51886094656049,73.84477436845866,411002,Indian
Janaseva Bhojanalaya,18.515952515103418,73.84241580963135,411002,Indian
Shivsagar,18.520151692146218,73.84589420653944,411002,Restaurant
Hotel Shreyas,18.519169540574115,73.84406229354899,411002,Maharashtrian
Mad Over Donuts,18.50124107245583,73.87242003091887,411042,Donuts
Sai Service Bajaj,18.52225999753082,73.85018514373338,411002,Motorcycle Shop
Nagbramhambha,18.49204565875299,73.8613372231632,411002,Fast Food
Darshan foods,18.51402082342707,73.84097794716021,411004,Vegetarian / Vegan
Top In Town,18.515419965563137,73.84175779790851,411002,Restaurant
Chitale Bandhu Mithaiwale,18.515742642741714,73.8418978810121,411004,Desserts
Saffron,18.507729238653617,73.84420581641643,411030,Indian
Sweekar,18.500642802529022,73.8448957093083,411038,Food Truck
PVR,18.501188,73.872457,411037,Cineplex
Subhadra Restaurant,18.519195658929494,73.84497365296683,411002,Indian
Shoppers Stop,18.501303803923292,73.872378724562,411042,Men's Store
Shantai Hotel Pune,18.519619386289705,73.87108814195811,411002,B & B
Kalyan Bhel,18.50306885136935,73.86881086175427,411037,Fast Food
McDonald's,18.518368987944104,73.8444406350638,411005,Fast Food
Rajendra Pavbhaji & Juice Bar,18.519502394847766,73.86765447164639,411011,Snacks
Domino's Pizza,18.51624192519409,73.84230837180795,400027,Pizza
Costa Coffee,18.501313430292214,73.87244840928385,411002,Coffee Shop
Deccan Gymkhana Club,18.515179330336036,73.84052753448486,411004,Gym / Fitness
Sarovar,18.515991059013285,73.84172211306785,411002,Bar
Shivaji market,18.51345054053528,73.87646365635534,411002,Department Store
Champion Sports,18.516327890618015,73.84169096663962,411004,Sporting Goods
KFC @ Kumar Pacific,18.501290609426736,73.87250717333636,411002,Fast Food
Raasta Cafe,18.519694368148173,73.87089003366609,411002,Comfort Food
Pride Of Hyderabad,18.51715297926503,73.87466669082642,411002,Indian
Girija Pav Bhaji Center,18.506250066857902,73.85235816418904,411002,Snacks
jayashree Hotel,18.504119543642545,73.85471062745097,411002,Asian
Silver Leaf,18.5056943347793,73.85290159504191,411030,Men's Store
Cafe Paradise,18.51286873676579,73.83988203563321,411002,Café
Jawaharlal Nehru Stadium,18.5021363976308,73.85556936264038,411037,Cricket
Hypercity,18.501314498911192,73.87240668106101,411002,Mall
McDonald's,18.501312843826653,73.87244759576802,411036,Fast Food
Reliance Digital,18.49981664560182,73.86079430580139,411042,Electronics
Kumar Pacific Mall,18.50139523130165,73.87238114152176,411042,Mall
Eddie's Kitchen,18.517966187668407,73.87454079751964,411002,Chinese
Subway,18.524498008706377,73.86868000030518,411001,Sandwiches
Patil Plaza,18.49597432221832,73.85447892964636,411002,Office
Bawa (Baba) Tea Stall,18.52268357548617,73.86730447770131,411002,Coffee Shop
Yashwant Kutchi Dabeli,18.515508590516852,73.84062845087894,411004,Food Truck
Aaoji Khhaoji,18.56265703054219,73.82931038865844,411003,Indian
Hotel Maharaja,18.582983520875874,73.8252146287508,411003,Hotel Bar
Khadki Railway Station,18.56388939016318,73.84032979676618,411020,Train Station
Thai House's Kitchen,18.566753981317337,73.8311574495556,411020,Thai
cafe coffee day,18.586988386004965,73.8330987833624,411003,Coffee Shop
Ashok hotel,18.586189811849145,73.8329896556364,411003,Snacks
Pune IT Park Cafeteria,18.566838282588943,73.83024421197084,411003,Cafeteria
M.M. Restaurant,18.56196617331934,73.8365046868337,411003,Diner
Dapodi Railway Station,18.581092713630795,73.83282309214898,411003,Train Station
Poona General Stores,18.566367234354402,73.84984748189946,411003,Department Store
Hotel Ashok,18.579005255335822,73.82817074494245,411012,Hotel
Rajesh Trading Co. Khadki,18.565225637715805,73.8507192481124,411003,Department Store
Monginis Cake Shop,18.564799058224494,73.85059864402436,411003,Bakery
Mega Mart,18.587151902530387,73.83314609527588,411003,Department Store
Bhojwani,18.58488661254856,73.8332710901755,411031,Desserts
Henny's Food Truck,18.55928890013511,73.84909970134031,411003,Food Truck
McDonald's,18.586755319937218,73.83314473183907,411012,Fast Food
Nisarg (निसर्ग),18.50673697431568,73.8320165290297,411004,Seafood
Cafe Cofee Day,18.508026286758323,73.83163630795073,411004,Café
Fish Curry Rice,18.510986233786202,73.82960666625144,411004,Seafood
Le Plaisir,18.51420497479481,73.83855092544634,411004,Bistro
Katakirr Misal,18.51137166374587,73.8336714487756,411004,Snacks
Aasing's Kitchen,18.514029983480278,73.82874953293054,411004,Burgers
Pastry Corner,18.50891985125201,73.83056534907344,411004,Bakery
Amruteshwar,18.508532197249476,73.83092588213361,411004,Fast Food
Shaukeen,18.508270905470848,73.83150724373515,411004,Smoke Shop
Fish Curry Rice,18.51071284516824,73.82962345541556,411004,Seafood
Café GoodLuck,18.5173883002662,73.8414854187446,411004,Café
Chinese Room Oriental,18.5104821947705,73.83478848816188,411029,Chinese
National Film Archives of India (NFAI),18.515930148620026,73.8292254679222,411004,Entertainment
Yolkshire,18.50281548802023,73.82169046656016,411029,Breakfast
Woodlands Family Resto Bar,18.508078182054433,73.8347448816268,411004,Gastropub
The Lunges Health Club.,18.519542311093517,73.83118616765026,411004,Gym
Barbeque Nation,18.516237355048084,73.84222283288595,411004,BBQ
Cafe Durga (KHS),18.501452285663813,73.82732303967111,411004,Café
Hotel Roopali,18.519342952744918,73.84133382675628,411004,Indian
Bipin Snacks And Juice Bar,18.513013126098517,73.83992106106976,411004,Snacks
Endurance Fitness Club,18.49923478118509,73.8211173481927,411029,Gym / Fitness
Supreme Pav Bhaji and Pizza (Canal Road Branch),18.513946111091535,73.83078312673891,411004,Pizza
Kalyan Bhel,18.511857711700383,73.83007475273956,411004,Snacks
Panchvati Gaurav,18.51787902732216,73.83862257779535,411004,Indian
Tilak Hotel,18.50960261815985,73.84688277838784,411030,Snacks
Ranade Tapri,18.518439123214733,73.84118200709439,411004,Fast Food
Domino's Pizza,18.507,73.832,411004,Pizza
Casa Lolo,18.51693034172058,73.83394002914429,411004,Deli / Bodega
Vaishali | वैशाली,18.52090576092219,73.84128332227108,411004,South Indian
Cheezy Bites,18.508484555988723,73.82236999541298,411038,Café
Abhishek Veg,18.50384200573861,73.83058430995754,411004,Vegetarian / Vegan
Golds Gym Kothrud,18.49911870210435,73.8215596288252,411004,Gym
Flavours,18.51893083023205,73.84140902977073,411004,Sandwiches
Wadeshwar,18.5150663518212,73.82888481601346,411038,South Indian
Pu La Deshpande Garden,18.49306197499458,73.8358786482728,411004,Garden
Barometer,18.498824117966002,73.81923973485303,411038,Café
Mad Over Donuts,18.519335111404256,73.84531961315069,411004,Donuts
Coffee & Bread Art Cafe,18.504055300870068,73.83086798780846,411004,Café
Hidden Place - The Hangout,18.509107380632898,73.81227999661668,411004,Pub
Four Seasons Restaurant and Bar,18.503703479883818,73.82142888670693,411057,Indian
German Bakery WunderBar,18.52004603720397,73.83043022574356,411004,Bistro
Club Delhi,18.501605667700026,73.82206608679138,411004,Indian
Cafe Coffee Day,18.500139500489336,73.814253581129,411029,Café
Anand Veg. Restaurant,18.50917011481975,73.83273666174804,411038,Vegetarian / Vegan
Sukanta,18.51694169413758,73.84428399256002,India,Vegetarian / Vegan
Ganesh Bhel,18.50014825818537,73.82668734280797,411029,Chaat
Venus Traders,18.5194544398586,73.84206964204846,411004,Stationery Store
Club Solaris,18.505787702309885,73.81968902388618,411038,Gym / Fitness
Wadeshwar,18.518656145726464,73.84148287858373,411004,Vegetarian / Vegan
KFC,18.51636540601343,73.84271277231954,411004,Fast Food
The Chocolate Room,18.518450934654,73.84157442251627,411007,Coffee Shop
IDDOS,18.510441175381686,73.81644541010897,411019,South Indian
Janjira Hotel,18.509113911280735,73.84372031997646,411004,Indian
ARAI Hilltop,18.51973678124073,73.81767671579341,411004,Other Outdoors
Baagwan Juice Center,18.493140159697564,73.82588984228583,411004,Juice Bar
Venky's Xprs,18.502695235350348,73.82169748231658,411004,Fried Chicken
Naturals Icecream,18.502131151739757,73.81583585824387,411029,Ice Cream
Darshan foods,18.51402082342707,73.84097794716021,411004,Vegetarian / Vegan
Cocoberry,18.520363094135984,73.84116377766922,411004,Yogurt
The Chocolate Room,18.509691206129006,73.81362140293946,411038,Desserts
Burger Barn Café,18.51096044070201,73.81550155331708,411 038,Burgers
Starbucks,18.52253776359269,73.84103656012874,411005,Coffee Shop
Gelato Italiano,18.50324558129647,73.81949200623144,411004,Ice Cream
Janaseva Bhojanalaya,18.515952515103418,73.84241580963135,411004,Indian
Aware Maratha Khanawal,18.512948403914418,73.84519971682283,411004,Indian
Ruchi,18.494487894211854,73.8253064424055,411004,Snacks
Top In Town,18.515419965563137,73.84175779790851,411004,Restaurant
P K Biryani,18.492513364457416,73.82852570562707,411004,Indian
Chitale Bandhu Mithaiwale,18.515742642741714,73.8418978810121,411004,Desserts
Manisha Bhel Panipuri Snacks Center,18.493215030926333,73.82562561652861,411052,Snacks
Sheetal Hotel,18.502301724622903,73.81611918532329,411029,Vegetarian / Vegan
Deccan Gymkhana Club,18.515179330336036,73.84052753448486,411004,Gym / Fitness
Sujata Mastani,18.501906169419435,73.81586314664574,411004,Desserts
Mathura restaurant,18.51886094656049,73.84477436845866,411004,Indian
Crossword,18.49910134374766,73.82105173610482,411004,Bookstore
