name,latitude,longitude,average_cost_for_two,price_range,aggregate_rating,votes,cuisines,highlights,all_reviews_count,photo_count
Oceanus - The Corinthians,18.4632331576,73.9195799455,1800,3,3.1,90,Cafe,"['Dinner', 'Cash', 'Takeaway Available', 'Breakfast', 'Debit Card', 'Lunch', 'Credit Card', 'Valet Parking Available', 'Outdoor Seating', 'Air Conditioned', 'Wheelchair Accessible', 'Fullbar', 'Ticket Restaurant', 'Table Reservation Not Required', 'Smoking Area', 'Wifi', 'Buffet']",48,138
Dalchini Veg & Non Veg,18.4635700000,73.9201810000,600,2,0,1,"Chinese, North Indian, Seafood, Mughlai","['Dinner', 'Cash', 'Takeaway Available', 'Lunch', 'Delivery', 'Indoor Seating', 'Air Conditioned']",0,0
Shaan-E-Punjaab,18.4618313264,73.9204345644,700,2,3.4,2994,"North Indian, Italian, Chinese, Biryani, Fast Food","['Dinner', 'Takeaway Available', 'Lunch', 'Cash', 'Delivery', 'Debit Card', 'Free Parking', 'Indoor Seating', 'Digital Payments Accepted', 'Smoking Area', 'Outdoor Seating', 'Table booking recommended']",225,47
99 Kitchen,18.4617934819,73.9205572754,400,1,3.3,3271,"North Indian, Fast Food, Italian, Salad","['Lunch', 'Cash', 'Takeaway Available', 'Dinner', 'Delivery']",109,33
Headshot,18.4615753192,73.9204540104,450,1,3.2,913,"Chinese, North Indian, Italian","['Takeaway Available', 'Dinner', 'Cash', 'Delivery', 'Free Parking', 'Fullbar', 'Indoor Seating', 'Digital Payments Accepted', 'Smoking Area', 'Live Sports Screening', 'Outdoor Seating']",138,43
BOX8 - Desi Meals,18.4663856459,73.9182069898,400,1,4.0,2476,"North Indian, Fast Food, Biryani, Wraps, Desserts","['Lunch', 'Cash', 'Takeaway Available', 'Debit Card', 'No Seating Available', 'Dinner', 'Delivery', 'Credit Card', 'Sodexo', 'Digital Payments Accepted', 'Bulk Orders Accepted', 'Group Meal']",75,85
Paran Home Foods,18.4661280000,73.9209940000,200,1,0,0,"North Indian, Maharashtrian","['Delivery', 'Cash', 'Digital Payments Accepted']",0,17
Nitus Cooking,18.4632582811,73.9228341356,300,1,0,0,North Indian,"['Lunch', 'Cash', 'Takeaway Available', 'Dinner', 'Delivery']",0,0
Tiffin Taxi,18.4665338397,73.9204211533,200,1,0,2,North Indian,"['Dinner', 'Cash', 'Takeaway Available', 'Lunch', 'Delivery', 'Indoor Seating', 'Digital Payments Accepted']",0,4
Brick Lane Bakery & Patisserie,18.4650553939,73.9160545170,400,1,3.7,71,"Bakery, Desserts","['Cash', 'Takeaway Available', 'Debit Card', 'Lunch', 'Delivery', 'Credit Card', 'Indoor Seating', 'Desserts and Bakes']",9,46
